t kinetic_energy max_velocity
0.0303 0.228121 0.954433
0.0304 0.228054 0.954326
0.0305 0.227987 0.954219
0.0306 0.22792 0.954113
0.0307 0.227853 0.954006
0.0308 0.227787 0.953899
0.0309 0.22772 0.953793
0.031 0.227653 0.953686
0.0311 0.227587 0.953579
0.0312 0.22752 0.953473
0.0313 0.227453 0.953366
0.0314 0.227387 0.953259
0.0315 0.22732 0.953153
0.0316 0.227254 0.953046
0.0317 0.227187 0.95294
0.0318 0.227121 0.952833
0.0319 0.227055 0.952727
0.032 0.226988 0.95262
0.0321 0.226922 0.952514
0.0322 0.226856 0.952407
0.0323 0.226789 0.952301
0.0324 0.226723 0.952195
0.0325 0.226657 0.952088
0.0326 0.226591 0.951982
0.0327 0.226525 0.951876
0.0328 0.226459 0.951769
0.0329 0.226392 0.951663
0.033 0.226326 0.951557
0.0331 0.22626 0.95145
0.0332 0.226194 0.951344
0.0333 0.226128 0.951238
0.0334 0.226063 0.951132
0.0335 0.225997 0.951026
0.0336 0.225931 0.950919
0.0337 0.225865 0.950813
0.0338 0.225799 0.950707
0.0339 0.225733 0.950601
0.034 0.225668 0.950495
0.0341 0.225602 0.950389
0.0342 0.225536 0.950283
0.0343 0.225471 0.950177
0.0344 0.225405 0.950071
0.0345 0.225339 0.949965
0.0346 0.225274 0.949859
0.0347 0.225208 0.949753
0.0348 0.225143 0.949647
0.0349 0.225077 0.949541
0.035 0.225012 0.949435
0.0351 0.224946 0.949329
0.0352 0.224881 0.949223
0.0353 0.224816 0.949117
0.0354 0.22475 0.949012
0.0355 0.224685 0.948906
0.0356 0.22462 0.9488
0.0357 0.224555 0.948694
0.0358 0.224489 0.948588
0.0359 0.224424 0.948483
0.036 0.224359 0.948377
0.0361 0.224294 0.948271
0.0362 0.224229 0.948165
0.0363 0.224164 0.94806
0.0364 0.224099 0.947954
0.0365 0.224034 0.947849
0.0366 0.223969 0.947743
0.0367 0.223904 0.947637
0.0368 0.223839 0.947532
0.0369 0.223774 0.947426
0.037 0.223709 0.947321
0.0371 0.223644 0.947215
0.0372 0.22358 0.94711
0.0373 0.223515 0.947004
0.0374 0.22345 0.946899
0.0375 0.223385 0.946793
0.0376 0.223321 0.946688
0.0377 0.223256 0.946582
0.0378 0.223192 0.946477
0.0379 0.223127 0.946372
0.038 0.223062 0.946266
0.0381 0.222998 0.946161
0.0382 0.222933 0.946055
0.0383 0.222869 0.94595
0.0384 0.222805 0.945845
0.0385 0.22274 0.94574
0.0386 0.222676 0.945634
0.0387 0.222611 0.945529
0.0388 0.222547 0.945424
0.0389 0.222483 0.945319
0.039 0.222418 0.945213
0.0391 0.222354 0.945108
0.0392 0.22229 0.945003
0.0393 0.222226 0.944898
0.0394 0.222162 0.944793
