t kinetic_energy max_velocity div_max
0.319 0.988633 1.30897 0
0.32 0.985918 1.30715 0
0.321 0.974642 1.30127 0
0.322 0.989177 1.30832 0
0.323 0.988648 1.30819 0
0.324 0.974593 1.30111 0
0.325 0.973825 1.30012 0
0.326 0.978868 1.30238 0
0.327 0.988081 1.30681 0
0.328 0.983123 1.3043 0
0.329 0.989673 1.30748 0
0.33 0.992276 1.3091 0
0.331 0.988982 1.30732 0
0.332 0.986385 1.30646 0
0.333 0.979489 1.30199 0
0.334 0.987395 1.30601 0
0.335 0.996347 1.3104 0
0.336 0.995163 1.30969 0
0.337 0.98262 1.30373 0
0.338 0.977331 1.30015 0
0.339 0.980137 1.3014 0
0.34 0.990624 1.30644 0
0.341 0.985262 1.304 0
0.342 0.979866 1.30077 0
0.343 0.977074 1.2994 0
0.344 0.990391 1.30569 0
0.345 0.974026 1.29711 0
0.346 0.98553 1.30272 0
0.347 0.982199 1.3008 0
0.348 0.984376 1.30173 0
0.349 0.987459 1.30333 0
0.35 0.982471 1.30085 0
0.351 0.987451 1.303 0
0.352 0.976076 1.29696 0
0.353 0.985432 1.30185 0
0.354 0.993374 1.30532 0
0.355 0.99398 1.3058 0
0.356 0.981755 1.29965 0
0.357 0.989609 1.30288 0
0.358 0.987579 1.302 0
0.359 0.97831 1.29689 0
0.36 0.989391 1.30245 0
0.361 0.981853 1.2984 0
0.362 0.990081 1.30246 0
0.363 0.996443 1.30624 0
0.364 0.982158 1.29863 0
0.365 0.995743 1.30478 0
0.366 0.983216 1.29859 0
0.367 0.992688 1.30326 0
0.368 0.986751 1.29987 0
0.369 0.984928 1.29862 0
0.37 0.98801 1.29988 0
0.371 0.986328 1.29905 0
0.372 0.998806 1.30538 0
0.373 0.99918 1.30566 0
0.374 0.987306 1.29973 0
0.375 0.98968 1.30089 0
0.376 0.981587 1.29679 0
0.377 0.983428 1.29775 0
0.378 0.992905 1.30186 0
0.379 0.988375 1.30001 0
0.38 0.991775 1.30202 0
0.381 0.986125 1.29904 0
0.382 0.983649 1.29755 0
0.383 0.989688 1.30032 0
0.384 0.989441 1.30011 0
0.385 0.990167 1.30062 0
0.386 0.987877 1.29937 0
0.387 0.981903 1.29663 0
0.388 0.992889 1.30206 0
0.389 0.984262 1.29773 0
0.39 0.987632 1.29905 0
0.391 0.98845 1.29987 0
0.392 0.989923 1.30035 0
0.393 0.996886 1.30361 0
0.394 0.987318 1.29869 0
0.395 0.984049 1.29697 0
0.396 0.985945 1.29797 0
0.397 0.982962 1.29663 0
0.398 0.983208 1.29619 0
0.399 0.982022 1.29551 0
0.4 0.983522 1.29617 0
0.401 0.987927 1.29872 0
0.402 0.989279 1.29905 0
0.403 0.98338 1.29594 0
0.404 0.990181 1.29951 0
0.405 0.988775 1.29901 0
0.406 0.98254 1.29599 0
0.407 0.987256 1.29808 0
0.408 0.991865 1.30055 0
0.409 0.990583 1.29993 0
0.41 0.980785 1.29468 0
0.411 0.985393 1.29656 0
0.412 0.990715 1.29945 0
0.413 0.981432 1.29443 0
0.414 0.991164 1.29941 0
0.415 0.986239 1.29705 0
0.416 0.98248 1.29554 0
0.417 0.976114 1.29158 0
0.418 0.989319 1.29833 0
0.419 0.990912 1.29904 0
0.42 0.984877 1.29595 0
0.421 0.992866 1.2998 0
0.422 0.984043 1.2962 0
0.423 0.986029 1.29664 0
0.424 0.987795 1.29764 0
0.425 0.983804 1.29537 0
0.426 0.993115 1.30004 0
0.427 0.973574 1.29066 0
0.428 0.978146 1.29243 0
0.429 0.986126 1.29624 0
0.43 0.994955 1.30071 0
0.431 0.989214 1.29885 0
0.432 0.983078 1.29497 0
0.433 0.990135 1.29836 0
0.434 0.991845 1.29987 0
0.435 0.991055 1.29894 0
0.436 0.987861 1.29737 0
0.437 0.995046 1.30063 0
0.438 0.984815 1.29529 0
0.439 0.981855 1.29374 0
0.44 0.978094 1.29174 0
0.441 0.986082 1.29555 0
0.442 0.982708 1.2938 0
0.443 0.990869 1.29853 0
0.444 0.978387 1.29198 0
0.445 0.987099 1.29575 0
0.446 0.992576 1.29921 0
0.447 0.985751 1.29544 0
0.448 0.993312 1.29934 0
0.449 0.987691 1.29637 0
0.45 1.00158 1.30353 0
0.451 0.989578 1.29759 0
0.452 0.99045 1.29766 0
0.453 0.990342 1.29764 0
0.454 0.980674 1.29285 0
0.455 0.984272 1.29418 0
0.456 0.986712 1.29517 0
0.457 0.990221 1.29698 0
0.458 0.98693 1.29567 0
0.459 0.986868 1.29509 0
0.46 0.990329 1.29688 0
0.461 0.987607 1.29587 0
0.462 0.978977 1.2913 0
0.463 0.986289 1.29482 0
0.464 0.983049 1.29288 0
0.465 0.981882 1.29226 0
0.466 0.978483 1.29023 0
0.467 0.986185 1.29423 0
0.468 0.984992 1.29392 0
0.469 0.980329 1.29104 0
0.47 0.994978 1.29865 0
0.471 0.991441 1.29674 0
0.472 0.990596 1.29648 0
0.473 0.984635 1.29325 0
0.474 0.985621 1.29385 0
0.475 0.974973 1.28784 0
0.476 0.975233 1.28792 0
0.477 0.991177 1.29582 0
0.478 0.9872 1.29399 0
0.479 0.987645 1.29433 0
0.48 0.982572 1.29169 0
0.481 0.981751 1.29119 0
0.482 0.987642 1.29401 0
0.483 0.974444 1.28704 0
0.484 0.989748 1.2953 0
0.485 0.988559 1.29435 0
0.486 0.993989 1.29717 0
0.487 0.998797 1.29962 0
0.488 0.987585 1.2942 0
0.489 0.989187 1.29522 0
0.49 0.987348 1.29414 0
0.491 0.988006 1.29419 0
0.492 0.9858 1.29345 0
0.493 0.998965 1.30038 0
0.494 0.998762 1.30014 0
0.495 0.991071 1.29627 0
0.496 0.991416 1.29684 0
0.497 1.00309 1.30287 0
0.498 0.991848 1.29711 0
0.499 0.991514 1.29647 0
0.5 0.990672 1.29646 0
0.501 0.985832 1.2933 0
0.502 0.985433 1.29346 0
0.503 0.9966 1.29878 0
0.504 0.985311 1.29344 0
0.505 0.984939 1.29388 0
0.506 0.986141 1.29446 0
0.507 0.992789 1.29717 0
0.508 0.980607 1.29182 0
0.509 0.984029 1.29336 0
0.51 0.996331 1.2996 0
0.511 0.987527 1.29476 0
0.512 0.978335 1.29007 0
0.513 0.984303 1.29344 0
0.514 0.992823 1.29796 0
0.515 0.978052 1.29037 0
0.516 0.987259 1.2945 0
0.517 0.986927 1.29499 0
0.518 0.996942 1.30078 0
0.519 0.990693 1.29749 0
0.52 0.985084 1.29411 0
0.521 0.986437 1.29493 0
0.522 0.980098 1.29244 0
0.523 0.985972 1.29558 0
0.524 0.98292 1.29345 0
0.525 0.998533 1.30148 0
0.526 0.981579 1.29273 0
0.527 0.990104 1.29738 0
0.528 0.983609 1.29318 0
0.529 0.97292 1.28856 0
0.53 0.98691 1.2956 0
0.531 0.986748 1.29571 0
0.532 0.989342 1.29689 0
0.533 0.986128 1.29509 0
0.534 0.991307 1.29779 0
0.535 0.988004 1.29635 0
0.536 0.991431 1.29813 0
0.537 0.98619 1.29535 0
0.538 0.984844 1.2945 0
0.539 0.985726 1.29461 0
0.54 0.981986 1.29272 0
0.541 0.989166 1.29737 0
0.542 0.973364 1.28894 0
0.543 0.993101 1.29864 0
0.544 0.978492 1.29107 0
0.545 0.989233 1.2958 0
0.546 0.981399 1.29206 0
0.547 0.986388 1.2946 0
0.548 0.985253 1.29494 0
0.549 0.976506 1.29049 0
0.55 0.983986 1.29425 0
0.551 0.986503 1.29552 0
0.552 0.980065 1.29194 0
0.553 0.985995 1.29541 0
0.554 0.988018 1.29621 0
0.555 0.983995 1.29415 0
0.556 0.985377 1.29487 0
0.557 0.986254 1.29531 0
0.558 0.983413 1.29392 0
0.559 0.974134 1.28883 0
0.56 0.993542 1.2988 0
0.561 0.985873 1.29477 0
0.562 0.983794 1.29396 0
0.563 0.99423 1.29983 0
0.564 0.994494 1.29949 0
0.565 0.995297 1.29997 0
0.566 0.999509 1.30276 0
0.567 0.985787 1.29549 0
0.568 0.992663 1.29876 0
0.569 0.993872 1.29967 0
0.57 0.983698 1.29435 0
0.571 0.985487 1.29459 0
0.572 0.984787 1.29465 0
0.573 0.989431 1.29671 0
0.574 1.00151 1.30298 0
0.575 0.99723 1.30102 0
0.576 0.989506 1.29671 0
0.577 0.983809 1.29397 0
0.578 0.990202 1.29732 0
0.579 0.99638 1.29991 0
0.58 0.988718 1.29662 0
0.581 0.982999 1.29352 0
0.582 0.989989 1.29712 0
0.583 0.993714 1.29875 0
0.584 0.99008 1.29702 0
0.585 0.99202 1.29751 0
0.586 0.990739 1.29726 0
0.587 0.985935 1.29469 0
0.588 0.986621 1.29552 0
0.589 0.995691 1.29988 0
0.59 0.983273 1.29387 0
0.591 0.98666 1.29508 0
0.592 0.994578 1.29965 0
0.593 0.996947 1.30089 0
0.594 0.98614 1.29493 0
0.595 0.981968 1.29277 0
0.596 1.00036 1.30175 0
0.597 0.994582 1.29915 0
0.598 0.990669 1.29699 0
0.599 0.984887 1.29434 0
0.6 0.9963 1.29961 0
0.601 0.993415 1.29859 0
0.602 0.989804 1.29621 0
0.603 0.998304 1.30101 0
0.604 1.00078 1.30261 0
0.605 0.990729 1.29742 0
0.606 0.985915 1.29462 0
0.607 0.993857 1.29841 0
0.608 0.995927 1.2992 0
0.609 1.00021 1.30115 0
0.61 1.00305 1.3031 0
0.611 0.995696 1.29902 0
0.612 0.992883 1.29743 0
0.613 0.983481 1.29326 0
0.614 0.984985 1.29415 0
0.615 0.995149 1.29884 0
0.616 0.992756 1.29726 0
0.617 0.989739 1.29598 0
0.618 0.996574 1.30002 0
0.619 0.998465 1.30029 0
0.62 0.991198 1.29641 0
0.621 0.993695 1.29787 0
0.622 0.996964 1.29918 0
0.623 0.997631 1.29905 0
0.624 0.991686 1.29609 0
0.625 0.992486 1.29648 0
0.626 0.986631 1.29335 0
0.627 0.998724 1.29997 0
0.628 0.993616 1.29755 0
0.629 0.988679 1.29445 0
0.63 0.98674 1.29363 0
0.631 0.986434 1.29355 0
0.632 0.981329 1.29075 0
0.633 0.995022 1.29799 0
0.634 0.99544 1.29768 0
0.635 0.989058 1.29485 0
0.636 0.983026 1.29155 0
0.637 0.990501 1.29498 0
0.638 0.974502 1.28688 0
0.639 0.983494 1.29116 0
0.64 0.992223 1.29583 0
0.641 0.997879 1.29889 0
0.642 0.990121 1.29498 0
0.643 0.990046 1.29498 0
0.644 0.983007 1.29127 0
0.645 0.983018 1.29071 0
0.646 0.990745 1.29483 0
0.647 0.994052 1.29643 0
0.648 0.980825 1.29006 0
0.649 0.984305 1.29146 0
0.65 0.97546 1.28709 0
0.651 0.974684 1.28644 0
0.652 0.982037 1.29033 0
0.653 0.985738 1.29234 0
0.654 0.980635 1.28977 0
0.655 0.972085 1.28537 0
0.656 0.976741 1.28771 0
0.657 0.981018 1.28973 0
0.658 0.978255 1.28839 0
0.659 0.987061 1.29294 0
0.66 0.986809 1.29265 0
0.661 0.983662 1.29116 0
0.662 0.987771 1.2931 0
0.663 0.989538 1.29414 0
0.664 0.99269 1.29573 0
0.665 0.979209 1.28892 0
0.666 0.985466 1.29221 0
0.667 0.988363 1.29408 0
0.668 0.987159 1.29294 0
0.669 0.996849 1.29811 0
0.67 0.988139 1.29369 0
0.671 0.985812 1.29205 0
0.672 0.989245 1.29429 0
0.673 0.984221 1.29167 0
0.674 0.98451 1.29179 0
0.675 0.985207 1.29245 0
0.676 0.982804 1.29074 0
0.677 0.969143 1.28342 0
0.678 0.975188 1.2868 0
0.679 0.980444 1.28907 0
0.68 0.977362 1.28738 0
0.681 0.974331 1.28621 0
0.682 0.98737 1.29295 0
0.683 0.97608 1.28718 0
0.684 0.990235 1.29422 0
0.685 0.986277 1.29248 0
0.686 0.980008 1.28941 0
0.687 0.983484 1.29091 0
0.688 0.978742 1.28832 0
0.689 0.984618 1.29111 0
0.69 0.991983 1.29513 0
0.691 0.98797 1.29291 0
0.692 0.98962 1.29377 0
0.693 0.9771 1.28733 0
0.694 0.983465 1.29053 0
0.695 0.977882 1.28787 0
